Product Name,Product Description,一级分类,Category
HS 3E电池,在保持HS单元、HS平板单元便利性的状态下，安装了参照极。 通过插入参照极，可以只测量正极或负极的电位。,电池部件与材料评估,电池设备>材料评估>HS3E单元
HS单元，HS平板单元,HS单元和HS平板单元是将硬币单元的结构模型化的密闭式二极单元。<br/>组装容易，组装后可以从手套箱中取出。 由于试验材料会被弹簧加压，所以可以再现同样的条件。 另外，评估后的分解也只需拧松螺母即可轻松进行。,电池部件与材料评估,电池设备>材料评估>HS单元，HS平板单元
HS膨胀分析电池,HS膨胀分析单元使锂离子电极电极的体积变化趋势。,电池部件与材料评估,电池设备>材料评估>HS膨胀分析单元格
凹槽机,用于在锂离子电池等罐中开槽(开槽、卷边)的装置。<br/>适用：18650等,研发与测试设备,电池设备>圆柱形单元/18650>凹槽机
半自动卷绕机,"适用于锂离子电池研发的理想卷绕机。两张电极片与从卷材馈送的两张隔膜一起卷绕。<br />
有多种型号可供选择，包括台式单电机卷绕机。<br />
适用：方形电池、18650电池",研发与测试设备,电池设备>圆柱电池/18650>半自动卷绕机
杯成形机,用于包装软包电池的外层包装材料---铝塑包装膜进行成型工序。<br/>其对铝塑膜中的铝层可进行拉深加工的装置。 加压速度、压力可变，可针对各种层压薄膜的加工条件进行优化。 通过变更模具可以进行各种尺寸的拉深加工。<br/>,研发与测试设备,电池设备>软包电池>杯成形机
缝机 /滑车,理想的拖刀工具或缝机，以割裂锂离子电池电极。  切片或滚动缝。<br/>请询问原始尺寸和缝隙尺寸。<br/>用剪切刀片缝。,研发与测试设备,电池设备>圆柱形单元/18650>裁缝机/拖鞋
超声波焊接机,用于超声波焊接锂离子电池等电极的集电箔和电流导入端子极片的装置。<br/>适用：软包电池、18650 电池,研发与测试设备,电池设备>软包电池>超声波焊接机
充放电测试设备,用于锂离子电池等的特性评估的测量设备。可用于电池材料评估、纽扣电池、圆柱型电池、软包电池、棱柱型电池等二次电池的评估，以及大型二次电池的评估等。根据评估对象选择最佳型号。,研发与测试设备,电池设备>纽扣电池>充放电测试设备
带压力表的HS平面电池,带压力表的HS平面电池可以在循环过程中提取产生的气体。,电池部件与材料评估,电池设备>材料评估>带压力表的HS平面电池
电极冲孔机,制作扣式电池用实验的圆盘状电极，冲裁尺寸可以根据客户的规格来制作。请根据具体尺寸进行咨询。<br />,研发与测试设备,电池设备>纽扣电池>电极冲切机
